ｲﾖｫ,ｲﾖｫ,zwq,zwr
113.916745,39.439695,113.8986774,39.44195253
112.8464946,37.36097073,112.874285,37.33070833
113.1247916,36.37729851,113.1168225,36.36330497
113.1168225,36.36330497,113.1172592,36.36151333
113.1168223,36.23334118,113.116955,36.23283505
113.116955,36.23283505,113.1180441,36.22895511
112.428815,37.86326333,112.3909974,37.87817634
112.2162675,37.9195594,112.2145261,37.91997506
112.2145261,37.91997506,112.17946,37.90822503
112.1678542,37.91301984,112.1636041,37.91454614
112.772974,37.60851266,112.7354876,37.55764918
112.7063191,37.53431668,112.6552709,37.52426806
114.1491081,40.70498228,114.0751992,40.66103833
114.1203902,40.54256083,114.1214479,40.51292994
114.1214225,40.51178921,114.1196477,40.50984905
114.1107184,40.48498761,114.1079031,40.48151898
114.1079031,40.48151898,114.09816,40.4711449
114.096804,40.46804277,114.0963411,40.46701946
114.0963411,40.46701946,114.1154017,40.4190943
114.1154017,40.4190943,114.1103712,40.41326804
114.0688047,40.40306129,114.0686177,40.40088916
114.0686177,40.40088916,114.0716483,40.39153833
114.2783697,39.45784183,114.275976,39.43745562
114.275976,39.43745562,114.2717066,39.41634509
112.4753542,37.75529165,112.4723345,37.74870623
113.889724,40.03790982,113.8928927,40.03075108
113.3921406,40.03276428,113.3961509,40.02737755
113.4016018,40.02038998,113.4025146,40.01907754
113.4828241,39.87408625,113.5503283,39.83052166
113.5919547,39.74420998,113.6042503,39.7291741
113.1646228,40.3916561,113.1653462,40.27114541
113.1572324,40.2501012,113.1322243,40.2416378
113.0988633,40.16757,113.1074461,40.15338083
113.0738267,39.90704833,113.0732932,39.90629701
113.0732932,39.90629701,113.0440681,39.86452854
113.0721733,39.84305487,113.0725367,39.84282297
113.0757792,39.84072038,113.0808601,39.83652104
113.0808601,39.83652104,113.0890833,39.83199228
113.059996,39.80172488,113.0645077,39.80179434
113.1102267,39.61407281,113.123765,39.60959045
113.123765,39.60959045,113.1274843,39.60768585
113.1274843,39.60768585,113.1604823,39.58408688
113.1715396,39.57825613,113.2395945,39.57084179
113.3284775,39.49846078,113.3275984,39.49393396
113.3275984,39.49393396,113.3274842,39.49246251
113.4441533,39.31888333,113.4853103,39.3121072
113.2161633,40.04500833,113.237093,40.01146463
113.2340697,40.01162883,113.1897074,39.93828124
113.1897074,39.93828124,113.1890342,39.93724066
113.1890342,39.93724066,113.1876591,39.93508884
113.1379068,39.87445024,113.13542,39.87322627
112.8094151,39.56091894,112.7935567,39.49678628
112.7935567,39.49678628,112.7943467,39.48568833
112.7943467,39.48568833,112.7878758,39.47503962
112.7878758,39.47503962,112.71849,39.40780333
112.71849,39.40780333,112.5378259,39.38278044
112.5378259,39.38278044,112.5245552,39.38108084
112.7202081,40.10122504,112.7214745,40.09549648
112.7214745,40.09549648,112.7348933,40.07958657
112.7352973,40.07860936,112.7372234,40.07298729
112.701445,39.99134667,112.767405,39.90519333
112.874989,39.75572565,112.8761771,39.7542188
112.8761771,39.7542188,112.8806401,39.74359662
113.010155,39.63834667,113.0272221,39.63532446
113.0272221,39.63532446,113.028182,39.63513565
113.0352671,39.63390838,113.1102267,39.61407281
113.123765,39.60959045,113.1274843,39.60768585
113.1274843,39.60768585,113.1604823,39.58408688
113.1604823,39.58408688,113.155606,39.55977008
112.59875,39.74295167,112.6013417,39.74013333
112.6578364,39.640205,112.6593743,39.62343787
112.6593743,39.62343787,112.6774624,39.59637106
112.6774624,39.59637106,112.7095586,39.58520168
112.8263174,39.53325856,112.8302051,39.53123695
112.8302051,39.53123695,112.8637107,39.51761132
112.8637107,39.51761132,112.8651401,39.51503802
112.8651401,39.51503802,112.8733302,39.50088967
112.8733302,39.50088967,112.8749637,39.4980843
112.8749637,39.4980843,112.8932925,39.47127085
112.8932925,39.47127085,112.9301911,39.44354185
112.247205,39.6195938,112.2525642,39.61426161
112.2783395,39.58672393,112.2787702,39.56728007
112.2889873,39.53244996,112.2988021,39.49913733
111.9382183,38.00561502,111.949285,37.96625166
111.949285,37.96625166,111.9494368,37.9347427
113.40007,38.07572745,113.3800521,38.04941918
113.303,38.01153,113.28441,38.00731074
113.2770867,38.00745341,113.2546963,37.98749664
113.0831712,37.92024307,112.901975,37.85955833
111.81319,38.18890166,111.822735,38.18036497
111.8353027,38.08861858,111.8212324,38.07900239
111.8212324,38.07900239,111.8238858,38.07706847
111.8238858,38.07706847,111.7705167,38.05416
111.7705167,38.05416,111.7105883,38.02562889
111.5805607,38.69477575,111.5570097,38.69870239
111.5570097,38.69870239,111.5217017,38.69128666
111.5217017,38.69128666,111.3611092,38.67249514
111.3611092,38.67249514,111.2175944,38.67338592
111.0506826,38.34894326,111.1174926,38.19475354
111.1219933,38.17815061,111.1156284,38.16648381
111.0122841,38.04181888,110.9958502,37.99856773
110.9902478,37.92284492,111.1169,37.708775
111.1169,37.708775,111.1579533,37.653655
111.9042717,37.56067908,111.906585,37.54951665
111.906585,37.54951665,111.7653834,37.52303493
111.7653834,37.52303493,111.6899226,37.52298042
111.6899226,37.52298042,111.5483833,37.475925
111.5483833,37.475925,111.5291962,37.46292678
111.5291962,37.46292678,111.5009658,37.41649952
112.7410858,36.64521349,112.7412864,36.63377009
112.7412864,36.63377009,112.7471717,36.620095
112.7471717,36.620095,112.7579783,36.61020497
112.7579783,36.61020497,112.8069664,36.57029695
112.8069664,36.57029695,112.8109929,36.56698829
112.8457067,36.54079007,112.8548766,36.53461333
112.8548766,36.53461333,112.8680218,36.52931906
112.8680218,36.52931906,112.8742533,36.52897836
112.9358201,36.49648695,112.9398457,36.48928596
112.9398457,36.48928596,112.944834,36.47072561
112.9696864,36.43267566,112.9706412,36.42963149
112.9706412,36.42963149,112.9639683,36.39703005
112.9639683,36.39703005,112.964477,36.39524439
112.9644768,36.39524439,112.9886375,36.34570826
112.9886375,36.34570826,112.9922913,36.33808154
113.0004026,36.3215381,113.0106184,36.30022669
113.0106184,36.30022669,113.0106508,36.28210084
113.0106508,36.28210084,113.0100357,36.26324683
113.0100357,36.26324683,113.0105955,36.23992721
113.0105955,36.23992721,113.015636,36.23593236
113.015636,36.23593236,113.0254352,36.22859572
113.0256498,36.22889729,113.0316417,36.22500166
113.2961755,36.26446988,113.2757368,36.19239927
113.03386,36.322215,113.0947733,36.34184
113.2215188,36.3550288,113.226374,36.35604295
111.5449932,36.24860342,111.5793337,36.23346312
111.5816224,36.23281896,111.6379176,36.20782577
111.6379176,36.20782577,111.6425247,36.2059399
111.4208446,36.03031993,111.4488713,36.07903671
111.5095226,36.2176102,111.542792,36.25004052
112.430635,37.38238333,112.2750719,37.30892509
111.8916042,37.00484083,111.9013089,36.91707702
111.8225396,36.88513013,111.807144,36.87275646
111.807144,36.87275646,111.7637583,36.82754333
111.7862332,37.28463228,111.81817,37.28156333
111.81817,37.28156333,111.8144786,37.26154587
111.8144786,37.26154587,111.9314126,37.23610764
111.3406046,35.60447109,111.3404267,35.58686975
111.7601466,37.26249507,111.7777324,37.2526082
111.7777324,37.2526082,111.7731187,37.23678531
111.7731187,37.23678531,111.7798066,37.20284971
111.7798066,37.20284971,111.7803762,37.18173732
111.7803762,37.18173732,111.7843642,37.17316417
111.7843642,37.17316417,111.7877515,37.16682194
111.8916042,37.00484083,111.9463158,37.03734662
112.9615993,35.64443186,112.9490434,35.62467719
111.4686988,36.98854013,111.4581943,36.8949866
111.4576399,36.89489995,111.439812,36.8906952
111.439812,36.8906952,111.4393529,36.89043168
111.4393529,36.89043168,111.4251777,36.8821755
111.4249106,36.88178524,111.3357041,36.76074036
111.34166,36.75156836,111.3467814,36.73685472
111.7048893,36.57051487,111.710125,36.57031333
111.6933908,36.46452918,111.6730633,36.41828916
111.6730633,36.41828916,111.6790772,36.40376779
111.6569523,36.41530793,111.6571997,36.41012611
111.6571997,36.41012611,111.6563622,36.39839831
111.6354967,36.28860676,111.6340861,36.28007544
111.5048305,36.14256106,111.4860685,36.10818
113.1877595,36.07307565,113.1975934,36.06697396
113.1975934,36.06697396,113.2375717,36.03766831
113.2375717,36.03766831,113.3403692,35.94435328
113.3403692,35.94435328,113.3402933,35.94338666
113.3402933,35.94338666,113.2994617,35.92252833
113.2994617,35.92252833,113.30542,35.90138831
113.30542,35.90138831,113.3470917,35.89880064
113.3701683,35.86129166,113.303399,35.83962945
113.0966617,36.16300333,113.0955169,36.15739208
113.0659949,36.04983474,113.1236416,35.96132501
113.1236416,35.96132501,113.1483767,35.93587916
113.1864028,35.9248034,113.2147241,35.89755949
113.0796341,36.16920423,113.0781145,36.16620871
112.883085,35.8227529,112.8740201,35.69436342
112.850524,35.57419399,112.8661459,35.52424837
113.0765967,36.35791163,113.05167,36.35980414
113.0401288,36.36216926,113.02327,36.36512335
113.02327,36.36512335,112.9678588,36.38086933
112.9148818,36.34420118,112.9145721,36.34398331
112.9145721,36.34398331,112.9065006,36.33723856
112.8824072,36.31204178,112.8807466,36.30320059
112.8807466,36.30320059,112.8784826,36.29441977
112.8784826,36.29441977,112.8769214,36.288252
112.86981,36.25866832,112.8730333,36.14095667
112.8863826,36.13071621,112.8863684,36.12273183
112.8863684,36.12273183,112.8865128,36.10753366
112.8865571,36.09893969,112.878775,36.07510163
112.8802783,36.03511329,112.8831667,36.01859166
112.8831667,36.01859166,112.8835684,36.0095083
111.5371158,36.08188583,111.5741475,36.07547077
111.5741475,36.07547077,111.6320967,36.07603833
111.6320967,36.07603833,111.6755844,36.06092344
111.6755844,36.06092344,111.7369933,36.02358333
111.7369933,36.02358333,111.8116059,35.98487085
111.4762786,36.0693408,111.4746016,36.07031944
111.4746016,36.07031944,111.4719717,36.07174666
111.4719717,36.07174666,111.4548241,36.08009115
111.4548241,36.08009115,111.4405883,36.086365
